SolarSonnen starSternen systemSystem responsibleVerantwortliche worldWelt orderOrdnungs responsibleVerantwortliche hierarchyHierarchie responsibleVerantwortliche;Wie mathematisches Objekt, Objekte sind im Wesentlichen 1/10 oder 21, also das semantisch ontologische Objekt oder die Instanz;Aggregatzustand gehört zu TriacontagramTriakontagramm zur Dreißig AD AD continuumKontinuum
OrderorOrdneror, hierarchicorHierarchikor, managorHandhabor, administratorVerwaltor, maintainorAufrechterhaltor, damagorSchädigor, hardshiporSchwierigeror, bossorCheffor;?;Flüssig
DamageSchaden determinorBestimmor orderOrdnungs hardenorHärteror orderOrdnungs concretorVerhärtor orderOrdnungs hammorHammor hierarchyHierarchie determinorBestimmor hardenorHärteror concretorVerhärtor solidorFesteror, bossesChefs solidFest makerMacher bossesChefs concreteKonkret determinorBestimmor;?;Gasförmig
NotNicht evilBöse butAber badSchlecht harmingSchädigend: abstractAbstrakter harmSchädigungs theoristsTheoretiker responsibleVerantwortlich forZum positionPositions givingGeben, abstractAbstrakter hierarchHierarchie theoristsTheoretiker responsibleVerantwortlich forZum positionPositions givingGeben, abstractAbstrakter orderOrdnungs  theoristsTheoretiker responsibleVerantwortlich forZum positionPositions givingGeben, abstractAbstrakter solarSonnen starSternen systemSystem theoristsTheoretiker responsibleVerantwortlich forZum positionPositions givingGeben, solarSonnen starSternen systemSystem federatorFöderator, bossesChefs federatorFöderator, abstractAbrakter managorHandhabor administratorVerwaltor theoretistTheoretikor federatorFöderator solarSonnen starSternen systemSystem;?;Fest
?;?;Plasma
?;?;Bose-Einstein-Kondensat (BEC) – der „klassische“ fünfte Aggregatszustand
?;?;Fermionen-Kondensat
?;?;Quark-Gluon-Plasma
?;?;Suprafester Zustand (Supersolid)
?;?;Zeitkristall
?;?;Rydberg-Materie
?;?;Strange-Matter (Seltsame Materie)
?;?;Superfluides Helium II (als Sonderform)
?;?;Photonen-Kondensat
?;?;?
?;?;?
?;Universelles Objekt und geistig mentales kosmisches ist ein anderes Objekt und Naturrechtobjekt aus Straßengewalt oder Physik oder Militär oder Unterschicht oder Psychopathen oder Satanisten oder Biologie Naturrecht als Objekt;?
?;Feldobjekt oder Bereichsobjekt sofern eine Dimension als Objekt gesehen und erkannt und begriffen und verstanden und gesehen wird;?
?;Schwierigkeitsobjekt Härtenobjekt Kompliziertheitsobjekt Aufgabenobjekt Verzwicktheitsobjekt Kabelsalatobjekt Wirrwarobjekt wären alles gute Wörter dafür;?
?;Semantisch ontologisches Tripel Objekt allgemeiner Linguistik nicht Sprache bildend alle Objekte der Linkuistik, wie z.B. Syntax als solches für sich alleine stehend selbst also alle Syntax die es geben kann und gibt;?
?;?;?
?;?;?
?;?;?
?;?;?
?;?;?
?;?;?
?;?;?
?;?;?
?;?;?
?;;?
?;;
?;;
?;;
?;;
