;weich;;;;;
fest;;Gefühl von Schlichtheit;;Gefühl etwas durchzustehen;;Gefühl des Anvisierens
Mut;sich sanftmütig fühlen;formal und ggf. höflich, böses Gegenteil: dreist;"Gefühl der Selbstüberwindung; Gemütsruhe und Gelassenheit, schlechtes Gegenteil: Niedergeschlagenheit, Apathie, Depression, phlegmatisch";Entschlossenheit als Gefühl;;Gefühl der Überwindung
eifer;Sanftmut, böses Gegenteil: Hartmut;"Gefühl des Vorpreschens; geschäftig sein als positive Art der Hektik, böses oder schlechtes Gegenteil: im emotionalen Streikmodus zu sein";;Geduld als Gefühl;;Gefühl des Erreichens und Erklimmens
;Gefühl, dass etwas kurzfristig genügt;gemütlich;Zufriedenheit als Gefühl;;Sauberkeit als Gefühl;sich bestätigt fühlen, genugtuende Beglückung
;;;;Thrill und Nervenkitzel;;Gefühl wie einen spannenden Film zu genießen
;kuschelig;;befreiend wie erholt;Gefühl einer Glückssträhne;Gefühl der Kartharsis, der inneren Reinigung;
