squareQuadrat fourVier D D continuumKontinuum: eliteElite elitistsElitisten elitaryElitaere elitatistsElitatisten;;
LeadingFuehrende elitesEliten;A;
NobleAdlige andUnd royalKoenigliche elitesEliten;B;
FederalFoederal federationalFoederationale elitesEliten;C;
EmperialImperiale andUnd dictatingDiktatierende elitesEliten;D;
CentricZentral elitesEliten;E;
ConfederationalKonfoederationale andUnd exploitingAusbeutende elitesEliten;F
DemocrationalDemokrationale eliteElite elitistsElitisten elitaryElitaetere notNicht democracyDemokratie notNicht democratsDemokraten notNicht representationRepraesentation;G;
ElitesEliten devastationVernichtung erradicationAusrottung annihilationAusloeschung extinctionAusradierung;H;
raidRaubzug rapeVergewaltigung elitesEliten robberyRaub sexualSexueller fuckFick stealKlauen predatorPredatoren eliteElite elitistsElitisten elitaryElitaetere;I;
improverVerbesserer reducingReduzieren planetsPlaneten habitatsHabitate moonsMonde depopulatingBevoelkerungsreduziernde eliteElite elitistsElitisten elitaryElitaetere optimizerOptimierer machiavellisticMachiavellistische structureStruktur improverVerbesserer elitesEliten forZum reducingReduzieren;J;
fitPassen inAn elitesEliten behaviourVerhaltens adapterAdaptierende eliteElite elitistsElitisten elitaryElitaetere;K;
squareQuadrat fourVier D D continuumKontinuum: eliteElite elitistsElitisten elitaryElitaetere;;
LeadingFuehrende elitesEliten;A;
NobleAdlige andUnd royalKoenigliche elitesEliten;B;
FederalFoederal federationalFoederationale elitesEliten;C;
EmperialImperiale andUnd dictatingDiktatierende elitesEliten;D;
CentricZentral elitesEliten;E;
ConfederationalKonfoederationale andUnd exploitingAusbeutende elitesEliten;F
DemocrationalDemokrationale eliteElite elitistsElitisten elitaryElitaetere notNicht democracyDemokratie notNicht democratsDemokraten notNicht representationRepraesentation;G;
ElitesEliten devastationVernichtung erradicationAusrottung annihilationAusloeschung extinctionAusradierung;H;
raidRaubzug rapeVergewaltigung elitesEliten robberyRaub sexualSexueller fuckFick stealKlauen predatorPredatoren eliteElite elitistsElitisten elitaryElitaetere;I;
improverVerbesserer reducingReduzieren planetsPlaneten habitatsHabitate moonsMonde depopulatingBevoelkerungsreduziernde eliteElite elitistsElitisten elitaryElitaetere optimizerOptimierer machiavellisticMachiavellistische structureStruktur improverVerbesserer elitesEliten forZum reducingReduzieren;J;
fitPassen inAn elitesEliten behaviourVerhaltens adapterAdaptierende eliteElite elitistsElitisten elitaryElitaetere;K;
